Name,Problem,Difficulty,Tags,Notes
1,Two Sum,Easy,"Array, Hashmap","Use hash-map to check for difference value, map will add index of last occurrence of a num, don’t repeat element"
121,Best Time to Buy and Sell Stock,Easy,"Array, Two Pointers","Initialize maxProfit and two pointers. Use while, for each pair check it profitable and store the max. If not profit move left = right. Either case move right one."
169.,Majority Element,Easy,Array,"Boyer-Moore Voting algorithm. Consider element appears [N/2], majority element will balance on top at the end. Initialize candidate value and counter. If counter == 0, reset candidate to value, else check if (index) value equals candidate to add 1"
217,Contains Duplicate,Easy,"Array, Set","Create value set. If value not in set add, else return True (means there is already one)"
57,Insert Interval,Medium,Array,"Check if interval goes at the beginning, or if the newInterval is bigger than current one we keep adding to the result. Else we generate the merge and add to result."
15,3Sum,Medium,"Array, Set, Two Pointers","Sort (help with duplicates). For each element, skip duplicates, then 2 pointers, one after current element and one at end of array. Find sum. If more than zero, move R (-) less than zero move L (+), if zero add triplet to results. After valid triplet, skip over duplicates"
238,Product of array except self,Medium,"Array, Precompute","We are looking for all elements from 0 to i-1 and i+1 to n. Divide into 2 subproblems according to initial statement. For all elements less than i, lets make left[] and also for right[] in the end, combine the two arrays."
39," Combination Sum",Medium,"Array, BackTrack, DFS","Naive backtracking solution recursive approach. To choices for each element: consider it into current set, do not consider it. Base cases: if sum == target end recursive call and add to list (return). If sum is more than target or finish array, terminate call. Iterate from the index to finish. Add to comb - track - remove"
56,Merge Intervals,Medium,"Array, Merge","Sort intervals by start (facilitate insertion). Initialize result array with first interval[0]. Iterate over intervals. If start is less/equalto the end of last element in result, we merge (update the last end by choosing the max between lastend and current end) else just append result"
75,Sort Colors,Medium,"Array, Quicksort","Sorts an array of 0s, 1s, and 2s by keeping track of the rightmost boundaries of 0s and 1s using three pointers (zero, one, two), initially set to -1. As it iterates through the array, it moves these pointers to the right to expand the boundaries for each color, and overwrites the array elements with the correct color values based on the current number and pointer positions."
11,Container with most water,Medium,"Array, Two Pointers","Initialize two pointers, L at start and R at finish. Initialize a max_volume. By iteration get the min height and calculate area. If height on left is lower than height on right move left, if move right is less that height left move right (-). else just move left (+), keep updating max volume."
